midPrice,sell,buy,installment,updated_at
1891023.0,1934551,1847496,1934551,2025-06-28T11:10:43.864+00:00
,1930574,1861073,1930574,2025-06-27T00:00:00.000Z
,1920030,1872029,1920030,2025-06-26T00:00:00.000Z
,1892881,1845558,1892881,2025-06-25T00:00:00.000Z
,1885879,1838732,1885879,2025-06-24T00:00:00.000Z
,1890442,1843180,1890442,2025-06-23T00:00:00.000Z
,1890865,1843593,1890865,2025-06-22T00:00:00.000Z
,1890865,1843593,1890865,2025-06-21T00:00:00.000Z
,1890300,1843042,1890300,2025-06-20T00:00:00.000Z
,1892301,1844993,1892301,2025-06-19T00:00:00.000Z
,1898292,1850834,1898292,2025-06-18T00:00:00.000Z
,1905241,1857609,1905241,2025-06-17T00:00:00.000Z
,1920296,1872288,1920296,2025-06-16T00:00:00.000Z
,1898240,1850784,1898240,2025-06-15T00:00:00.000Z
,1898240,1850784,1898240,2025-06-14T00:00:00.000Z
,1898851,1851379,1898851,2025-06-13T00:00:00.000Z
,1870767,1823997,1870767,2025-06-12T00:00:00.000Z
,1852607,1806291,1852607,2025-06-11T00:00:00.000Z
,1851677,1805385,1851677,2025-06-10T00:00:00.000Z
,1880346,1833337,1880346,2025-06-09T00:00:00.000Z
,1879798,1832803,1879798,2025-06-08T00:00:00.000Z
,1879798,1832803,1879798,2025-06-07T00:00:00.000Z
,1880480,1833468,1880480,2025-06-06T00:00:00.000Z
,1880661,1833644,1880661,2025-06-05T00:00:00.000Z
,1866650,1819983,1866650,2025-06-04T00:00:00.000Z
,1847844,1801647,1847844,2025-06-02T00:00:00.000Z
,1837001,1791075,1837001,2025-06-01T00:00:00.000Z
,1837001,1791075,1837001,2025-05-31T00:00:00.000Z
,1837469,1791532,1837469,2025-05-30T00:00:00.000Z
,1837121,1791192,1837121,2025-05-29T00:00:00.000Z
,1837637,1791696,1837637,2025-05-28T00:00:00.000Z
,1865292,1818659,1865292,2025-05-27T00:00:00.000Z
,1862549,1815985,1862549,2025-05-26T00:00:00.000Z
,1867039,1820363,1867039,2025-05-25T00:00:00.000Z
,1867039,1820363,1867039,2025-05-24T00:00:00.000Z
,1867474,1820787,1867474,2025-05-23T00:00:00.000Z
,1867296,1820613,1867296,2025-05-22T00:00:00.000Z
,1840675,1794658,1840675,2025-05-21T00:00:00.000Z
,1817679,1772237,1817679,2025-05-20T00:00:00.000Z
,1840319,1794311,1840319,2025-05-19T00:00:00.000Z
,1836592,1790677,1836592,2025-05-18T00:00:00.000Z
,1836592,1790677,1836592,2025-05-17T00:00:00.000Z
,1837102,1791174,1837102,2025-05-16T00:00:00.000Z
,1813442,1768105,1813442,2025-05-15T00:00:00.000Z
